,名称,评估机构数,wind一致预期（180天）,wind一致预期（90天）,wind一致预期（30天）,前收盘价,总股本,流通股本,pct_change, mk_cap 
1282.HK,中泽丰,,,,,0.122,2680000000,1880000000,,326960000
1283.HK,高升集团控股,,,,,0.96,810827000,213827000,,778393920
1284.HK,新传企划,,,,,0.37,600000000,150000000,,222000000
1285.HK,嘉士利集团,,,3.17,,1.16,415000000,104528000,1.732758621,481400000
1929.HK,周大福,,8.7672,8.934,8.9311,7.13,9987736800,1734612689,25.30%," 71,212,563,384 "
6185.HK,康希诺生物,2,29.91,35.1,35.1,28.05,247449899,98072500,25.13%," 6,940,969,667 "
1289.HK,盛力达科技,,,,,1.2,128000000,32000000,,153600000
1290.HK,中国汇融,,0.835,0.835,0.835,0.85,1090335000,543135000,-0.017647059,926784750
1292.HK,长安民生物流,1,,,,2.29,162064000,56220000,,371126560
1293.HK,广汇宝信,,0.21,,0.21,0.163,2837511429,672797728,,462514362.9
1298.HK,云能国际,,0.376,0.376,0.376,0.69,275437000,74240005,-0.455072464,190051530
6655.HK,华新水泥,4,9.5333,9.5333,,7.62,2078995649,350509376,25.11%," 15,841,946,845 "
1300.HK,俊知集团,,0.19,,,0.28,1791500000,635102250,,501620000
1301.HK,德基科技控股,,1.188,1.188,1.188,0.71,639408000,188780000,0.673239437,453979680
1821.HK,ESR,2,13.53,14.31,,11.44,4245428349,2060558724,25.09%," 48,567,700,313 "
1303.HK,汇力资源,,0.667,0.667,,0.33,2103141290,1179000000,1.021212121,694036625.7
1305.HK,伟志控股,,1.583,1.583,1.583,0.9,219725000,91605000,0.758888889,197752500
6990.HK,科伦博泰生物-B,13,219.65,229.055,224.2733,183.2,222844099,45483769,25.03%," 40,825,038,937 "
0966.HK,中国太平,4,13.7642,15.35,12.7,12.28,3594018538,1680880089,25.00%," 44,134,547,647 "
1312.HK,华控康泰,,,,,0.031,5588571777,5074577777,,173245725.1
1610.HK,中粮家佳康,2,1.85,1.8,,1.44,4581998323,2502125541,25.00%," 6,598,077,585 "
1314.HK,翠华控股,,,1.38,1.38,0.236,1411226450,641134450,4.847457627,333049442.2
1315.HK,绿色经济,,,,,0.119,621876317,6977696994,,74003281.72
6160.HK,百济神州,7,168.5167,160.8157,156.9517,128.8,1382244067,,24.86%," 178,033,035,830 "
1317.HK,枫叶教育,,2.41,2.41,2.41,0.244,2995320920,1410150910,8.87704918,730858304.5
1319.HK,霭华押业信贷,,0.212,0.212,0.212,0.22,1927236406,389283353,-0.036363636,423992009.3
1321.HK,中国新城市,,,,,0.75,2010768000,683212000,,1508076000
1323.HK,华盛国际控股,,0.028,0.028,,0.24,755654743,514742843,-0.883333333,181357138.3
1326.HK,传递娱乐,,,,,0.036,2595613733,671237819,,93442094.39
1327.HK,励时集团,,,,,0.054,539136000,3250632980,,29113344
