,名称,评估机构数,wind一致预期（180天）,wind一致预期（90天）,wind一致预期（30天）,前收盘价,总股本,流通股本,pct_change, mk_cap 
1561.HK,联洋智能控股,,,,,0.115,1065454100,765617311,,122527221.5
1563.HK,友联国际教育租赁,,,,,0.23,1690914000,787437659,,388910220
1565.HK,成实外教育,,2.8,2.8,,0.196,3088761000,1058608726,13.28571429,605397156
1566.HK,华夏文化科技,,,,,0.051,1182042000,1047504000,,60284142
1568.HK,承达集团,,,1.9,,0.4,2158210000,523549546,3.75,863284000
1569.HK,民生教育,,0.6733,0.6733,,0.2,4217720000,861116000,2.3665,843544000
1570.HK,伟业控股,,,,,1.4,196133152,49070958,,274586412.8
0316.HK,东方海外国际,,122.0333,120,120,99.4,660373297,131147789,20.72%," 65,641,105,722 "
1572.HK,中国艺术金融,,0.007,0.007,,0.114,1690500000,689732000,-0.938596491,192717000
1575.HK,皇庭智家,,,2.4,,0.07,2750000000,783462000,33.28571429,192500000
1038.HK,长江基建集团,1,63.1963,64.685,,53.6,2519610945,612929000,20.68%," 135,051,146,652 "
1577.HK,汇鑫小贷,,,,,0.72,680000000,142546361,,489600000
1513.HK,丽珠医药,1,32.06,32.06,,26.6,927820294,143687745,20.53%," 24,680,019,820 "
1508.HK,中国再保险,2,1,1,,0.83,42479808085,6679416700,20.48%," 35,258,240,711 "
1580.HK,大森控股,,,,,0.088,1095679546,350559839,,96419800.05
1581.HK,进升集团控股,,,,,0.122,415000000,170602000,,50630000
1582.HK,华营建筑,,,,,0.47,500000000,113850000,,235000000
1583.HK,亲亲食品,,1.379,,1.379,1.03,755096557,248314524,,777749453.7
1164.HK,中广核矿业,12,2.155,2.1057,2.3733,1.75,7600682645,2562686993,20.33%," 13,301,194,629 "
1586.HK,力鸿检验,,1.768,,1.768,1.78,598742626,223107837,,1065761874
1587.HK,欣融国际,,0.537,,,0.32,680000000,170000000,,217600000
1588.HK,畅捷通,,11.51,11.51,11.51,5,325772499,74250000,1.302,1628862495
1591.HK,汛和集团,,,,,0.182,400000000,1756000000,,72800000
1592.HK,基石控股,,0.048,,,0.047,2412962811,802596341,,113409252.1
1593.HK,辰林教育,,,3.08,,1.44,1000000000,439038000,1.138888889,1440000000
1596.HK,翼辰实业,,2.664,2.664,,2.52,897840000,224460000,0.057142857,2262556800
1597.HK,纳泉能源科技,,,,,4.8,250000000,62500000,,1200000000
1598.HK,21世纪教育,1,,,,0.11,1161204000,406614000,,127732440
1599.HK,城建设计,2,2.6,2.6,,1.52,1348670000,238221000,0.710526316,2049978400
0639.HK,首钢资源,5,3.144,3.16,,2.63,5091065770,2085330484,20.15%," 13,389,502,975 "
1601.HK,中关村科技租赁,,,,,0.72,1333334000,213932000,,960000480
1209.HK,华润万象生活,21,34.2259,35.1425,40,29.25,2282500000,599834000,20.15%," 66,763,125,000 "
1608.HK,伟能集团,,2.33,2.33,2.33,0.191,6683150524,1232646013,11.19895288,1276481750
9923.HK,移卡,5,14.095,12,,9.99,443012442,232322451,20.12%," 4,425,694,296 "
1611.HK,新火科技控股,,,,,2.23,465960665,172987257,,1039092283
1612.HK,永胜医疗,,0.633,,,0.4,653336332,271396442,,261334532.8
1613.HK,协同通信,,0.922,0.922,0.922,0.49,448741440,257349829,0.881632653,219883305.6
1615.HK,奥邦建筑,,0.251,0.251,,0.243,600000000,150000000,0.032921811,145800000
1616.HK,一元宇宙,,,,,0.03,2151577026,637596991,,64547310.78
1617.HK,南方通信,,,,,0.087,1626240000,786240000,,141482880
2328.HK,中国财险,20,13.8015,14.1487,14.68,11.78,22242765303,4599529222,20.11%," 262,019,775,269 "
1620.HK,富盈环球集团,,0.041,0.041,,0.057,1200000000,300000000,-0.280701754,68400000
1621.HK,域高国际控股,,,,,0.07,1000000000,270000000,,70000000
1622.HK,力高集团,,3.17,,,0.275,3551609322,756970000,,976692563.6
1623.HK,海隆控股,1,0.75,0.75,0.75,0.113,1696438600,868524800,5.637168142,191697561.8
1626.HK,嘉耀控股,,,,,2.4,600000000,181276000,,1440000000
1627.HK,安保工程控股,,,,,0.445,2000000000,500000000,,890000000
1628.HK,禹洲集团,,1,1,1,0.092,6543909500,2055407870,9.869565217,602039674
1629.HK,冠均国际控股,,,,,0.16,546092537,104684537,,87374805.92
1630.HK,建成控股,,,,,0.053,1500000000,375000000,,79500000
1631.HK,REF HOLDINGS,,0.467,0.467,,0.195,256000000,64000000,1.394871795,49920000
1632.HK,民商创科,,,,,0.255,953274910,210458080,,243085102.1
1633.HK,上谕集团,,0.083,,,0.079,684750000,189750000,,54095250
0826.HK,天工国际,1,2.51,2.51,,2.09,2725000000,1363247479,20.10%," 5,695,250,000 "
1636.HK,中国金属利用,,,,6.2,0.208,4481557261,2386624125,,932163910.3
1637.HK,顺兴集团控股,,,,,0.098,400000000,100000000,,39200000
1638.HK,佳兆业集团,,0.8,0.8,0.8,0.184,7015468487,2724229356,3.347826087,1290846202
1640.HK,瑞诚中国传媒,,,,,2.73,560000000,150003370,,1528800000
1643.HK,现代中药集团,,,,,0.5,600000000,198000000,,300000000
1645.HK,海纳智能,,,,,1.2,563976000,214788000,,676771200
1647.HK,雄岸科技,,,,,0.111,1195040000,662200000,,132649440
1650.HK,HYGIEIA GROUP,,,,,0.073,2000000000,500000000,,146000000
6881.HK,中国银河,,8.3589,8.4663,9.1,7.05,10934402256,3690984633,20.09%," 77,087,535,905 "
1652.HK,福森药业,,,,,0.92,739301000,208668000,,680156920
1653.HK,MOS HOUSE,,,,,0.345,284117000,116357000,,98020365
1655.HK,OKURA HOLDINGS,,,,,0.132,600000000,225000000,,79200000
1656.HK,亿仕登控股,,,,,1.22,448590125,263770921,,547279952.5
1657.HK,桦欣控股,,,,,7.29,32000000,8292000,,233280000
3888.HK,金山软件,6,36.26,37.6846,37.6583,31.4,1336085557,924242594,20.01%," 41,953,086,490 "
1660.HK,兆邦基生活,,,,,0.14,6195000000,2390904000,,867300000
1661.HK,中国前沿科技集团,,,3.02,,0.106,1902942000,902401000,27.49056604,201711852
1662.HK,义合控股,,0.537,0.537,,2.77,500000000,150000000,-0.806137184,1385000000
1663.HK,汉港控股,,,,,0.105,2464000000,1205615237,,258720000
1665.HK,槟杰科达,1,0.75,0.75,0.75,0.64,2400000000,745020011,0.171875,1536000000
2388.HK,中银香港,3,28.0064,28.6163,29.95,23.9,10572780266,3588578053,19.73%," 252,689,448,357 "
1667.HK,迪米生活控股,,,,,0.24,960000000,154240000,,230400000
1668.HK,华南城,,,,,0.205,11441892848,4829402391,,2345588034
1669.HK,环球信贷集团,,0.373,0.373,0.373,0.55,400000000,100000000,-0.321818182,220000000
1671.HK,天保能源,,,,,0.42,159920907,37434369,,67166780.94
1672.HK,歌礼制药-B,,,,,1.55,1012758000,184323682,,1569774900
1673.HK,华章科技,,,,,0.28,1596134067,511776640,,446917538.8
3669.HK,永达汽车,2,2.0986,2.298,2.3475,1.92,1891908013,996727855,19.69%," 3,632,463,385 "
1676.HK,高地股份,,,,,0.4,231015000,126530000,,92406000
1679.HK,瑞斯康集团,,,,,0.199,255728860,96015353,,50890043.14
1680.HK,澳门励骏,,1.23,1.23,,0.147,6201187120,1394754612,7.367346939,911574506.6
3328.HK,交通银行,5,6.6115,6.7242,6.328,5.62,74262726645,7888892686,19.65%," 417,356,523,745 "
1682.HK,杭品生活科技,,,,,0.19,785927000,631804000,,149326130
1683.HK,旷逸国际,,,,,0.207,1555200000,570100000,,321926400
1685.HK,博耳电力,,,3.1,,0.157,773769000,252654000,18.74522293,121481733
6618.HK,京东健康,6,33.6363,33.91,31.638,28.35,3198565111,1040211379,19.61%," 90,679,320,897 "
1689.HK,华禧控股,,,,,0.51,701430000,251430000,,357729300
1690.HK,立基工程控股,,0.058,0.058,,0.072,1479980000,460030000,-0.194444444,106558560
0968.HK,信义光能,12,4.5176,4.1129,3.68,3.44,9078447365,4042663440,19.56%," 31,229,858,936 "
1692.HK,登辉控股,,,,,2.61,359000000,87194000,,936990000
1693.HK,璋利国际,,,,,1.35,36000000,450000000,,48600000
1695.HK,椰丰集团,,,,,0.076,1080000000,270000000,,82080000
1696.HK,复锐医疗科技,4,4.5,,,3.38,468343092,133838292,,1582999651
1697.HK,山东国信,,0.274,,0.274,0.38,4658850000,679050000,,1770363000
2556.HK,迈富时,5,135.0583,123.7375,,103.6,235164100,37630700,19.44%," 24,363,000,760 "
1699.HK,普甜食品,,,,,0.04,2249000000,611084000,,89960000
1701.HK,途屹控股,,,,,0.132,1000000000,297688000,,132000000
1702.HK,东光化工,,,,,2,620944000,129812000,,1241888000
1703.HK,维力生活科技,,,,,0.048,1150000000,563500000,,55200000
1705.HK,宾仕国际,,,,,0.325,400000000,100000000,,130000000
1706.HK,双运控股,,,,,0.058,1000000000,250000000,,58000000
1707.HK,致浩达控股,,,,,0.076,1680000000,759520000,,127680000
1708.HK,三宝科技,,,,,0.48,792058500,175644500,,380188080
0002.HK,中电控股,4,75.9791,77.095,78.58,64.67,2526450570,963632884,19.21%," 163,385,558,362 "
1710.HK,致丰工业电子,,,0.49,0.49,0.143,1000000000,161128000,2.426573427,143000000
1711.HK,欧化,,,,,0.08,800000000,200000000,,64000000
1712.HK,龙资源,,,,,1.46,158096613,81387987,,230821055
1713.HK,四川能投发展,,,1.66,,2.04,1074357700,105741800,-0.18627451,2191689708
1715.HK,火山邑动国际控股,,,,,0.25,117922000,1515300000,,29480500
1716.HK,毛记葵涌,,,,,0.375,270000000,71522000,,101250000
2367.HK,巨子生物,30,56.8444,59.5329,61.7167,50,1028220000,447115065,19.07%," 51,411,000,000 "
1718.HK,宏基集团控股,,,,,0.27,115200000,686080000,,31104000
1719.HK,中国通商集团,,0.467,0.467,,0.7,1725066689,246068178,-0.332857143,1207546682
1720.HK,普天通信集团,,,,,0.062,1100000000,332750000,,68200000
1721.HK,FSM HOLDINGS,,,,,0.465,1000000000,397660000,,465000000
1722.HK,建鹏控股,,,,,0.053,1100000000,415050000,,58300000
1723.HK,港亚控股,,,,,0.28,400000000,118930000,,112000000
1725.HK,洲际航天科技,,,,,1.16,504074000,258691247,,584725840
1726.HK,HKE HOLDINGS,,,,,1.65,1076347114,508078524,,1775972738
1727.HK,河北建设,,,,,0.6,1761383500,1733334000,,1056830100
1728.HK,正通汽车,,0.24,,0.24,0.136,3346990420,1557752236,,455190697.1
0960.HK,龙湖集团,17,12.16,12.98,12.48,10.92,6888163276,1968888987,18.86%," 75,218,742,974 "
1730.HK,LHN,,,,,2.35,418271953,183962800,,982939089.6
1731.HK,其利工业集团,,,,,0.8,1120000000,280000000,,896000000
1732.HK,象兴国际,,0.079,0.079,0.079,0.074,1280000000,717500000,0.067567568,94720000
2638.HK,港灯-SS,2,6.4225,6.2,,5.22,8836200000,2273227782,18.77%," 46,124,964,000 "
1776.HK,广发证券,2,12.1725,12.7543,12.9433,10.74,7621087664,1553523600,18.76%," 81,850,481,511 "
1736.HK,中国育儿网络,,0.151,0.151,,0.083,345662343,220039094,0.819277108,28689974.47
1737.HK,亚洲实业集团,,,,,0.093,1000000000,250000000,,93000000
1738.HK,飞尚无烟煤,,,,,0.139,1380545800,548516150,,191895866.2
1739.HK,齐屹科技,,,3.2,,0.202,1145011090,321219509,14.84158416,231292240.2
1740.HK,新石文化,,,,,0.078,1037500000,375992500,,80925000
1741.HK,成志控股,,,,,0.053,800000000,392000000,,42400000
1742.HK,HPC HOLDINGS,,0.029,,,0.059,1600000000,400000000,,94400000
1745.HK,驴迹科技,,,,,0.39,1687200675,831886175,,658008263.3
1746.HK,万顺集团控股,,,,,0.305,1000000000,160000000,,305000000
1747.HK,HOME CONTROL,,0.53,0.53,0.53,0.4,506650000,131650000,0.325,202660000
1748.HK,信源企业集团,,,,,3.74,440000000,125324343,,1645600000
1749.HK,杉杉品牌,,,,,0.88,133400000,33400000,,117392000
1750.HK,全达电器集团控股,,0.021,,,0.026,1800000000,612000000,,46800000
1751.HK,景联集团,,,,,0.415,241920000,125581000,,100396800
1752.HK,澳洲成峰高教,,,0.4,0.4,0.071,2436394000,716932000,4.633802817,172983974
1753.HK,兑吧,,,,,0.26,1076823200,539734171,,279974032
1755.HK,新城悦服务,5,3.8933,3.8933,4.24,2.96,871331000,271331000,0.315304054,2579139760
1756.HK,中国职业教育,,2.5,,,0.62,1200000000,1131669000,,744000000
1757.HK,俊裕地基,,,,,0.16,1200000000,300000000,,192000000
1758.HK,博骏教育,,,,,0.178,903138460,448572450,,160758645.9
1759.HK,中油洁能控股,,,,,0.465,216000000,54000000,,100440000
1760.HK,英恒科技,2,2.395,,,1.19,1087838400,368868400,,1294527696
1761.HK,宝宝树集团,,,1.8,,0.265,1660711609,156811360,5.79245283,440088576.4
1762.HK,万咖壹联,,,,,0.147,1525743350,1009891550,,224284272.5
1117.HK,现代牧业,5,0.9175,0.9733,,0.82,7915662048,1849592585,18.70%," 6,490,842,879 "
1765.HK,希教国际控股,,0.83,0.83,0.83,0.144,8224974706,4294406763,4.763888889,1184396358
0341.HK,大家乐集团,,9.3,9.3,9.3,7.87,580004033,361085900,18.17%," 4,564,631,740 "
1767.HK,TS WONDERS,,,,,0.184,1000000000,250000000,,184000000
1769.HK,思考乐教育,9,7.8633,8.68,,5.16,564869050,336305000,0.682170543,2914724298
1771.HK,新丰泰集团,,,,,0.265,600000000,131028000,,159000000
2602.HK,万物云,11,27.2585,25.7425,,21.8,1171565329,302555693,18.08%," 25,540,124,172 "
1585.HK,雅迪控股,17,14.0085,14.51,15.5,12.3,3112647294,1149031057,17.97%," 38,285,561,716 "
1775.HK,精英汇集团,,,,,0.18,507632000,132632000,,91373760
3988.HK,中国银行,4,4.2,4.2582,4.125,3.61,2.94388E+11,83622276395,17.96%," 1,062,739,926,380 "
1777.HK,花样年控股,,,1.55,1.55,0.112,5772597864,2458507364,12.83928571,646530960.8
1778.HK,彩生活,,2.8,2.8,,0.185,1487525754,473882436,14.13513514,275192264.5
1780.HK,荣尊国际控股,,,,,1.29,620000000,155000000,,799800000
1782.HK,国际商业数字技术,,9.386,,,3.92,762000000,192285000,,2987040000
0669.HK,创科实业,7,119.425,129.26,134,109.6,1832264941,1207403860,17.94%," 200,816,237,534 "
1898.HK,中煤能源,,10.2171,10.884,10.46,9.23,13258663400,2093804853,17.92%," 122,377,463,182 "
1786.HK,铁建装备,,,2.17,,0.74,1519884000,438560500,1.932432432,1124714160
0200.HK,新濠国际发展,3,5.675,5.675,5.7333,4.82,1516683755,523925329,17.74%," 7,310,415,699 "
0016.HK,新鸿基地产,,90.9385,90.9385,79.85,77.25,2897780274,1631422863,17.72%," 223,853,526,167 "
0683.HK,嘉里建设,,18.02,18.35,16.2,15.6,1451305728,577215234,17.63%," 22,640,369,357 "
1790.HK,达力环保,,,,,0.54,1000000000,250000000,,540000000
1792.HK,CMON,,0.017,0.017,0.017,0.021,2167200000,590329614,-0.19047619,45511200
1793.HK,伟工控股,,,,,0.156,800000000,200000000,,124800000
1795.HK,亚东集团,,,,,1.27,600000000,150000000,,762000000
1796.HK,METASPACEX,,,,,1.78,480000000,120000000,,854400000
0853.HK,微创医疗,2,10.55,7.0667,7.8,6.01,1846725755,436163075,17.58%," 11,098,821,788 "
3868.HK,信义能源,4,0.96,0.94,0.9,0.8,8376653757,2925540918,17.50%," 6,701,323,006 "
0763.HK,中兴通讯,5,21.0077,22.207,22.215,18.92,4783516087,753464534,17.37%," 90,504,124,366 "
1288.HK,农业银行,4,4.4267,4.5518,4.79,3.88,3.49983E+11,30738823096,17.31%," 1,357,934,171,427 "
0019.HK,太古股份公司A,,78.3516,74.9,74.9,64.05,1384638000,386949280,16.94%," 88,686,063,900 "
1802.HK,文业集团,,,,,0.073,594000000,429910850,,43362000
1803.HK,北京体育文化,,0.227,0.227,0.227,0.109,1408019000,595391000,1.082568807,153474071
1808.HK,企展控股,,,,,4.77,244888185,192377335,,1168116642
6823.HK,香港电讯-SS,,11.9,11.3,,9.67,7579776147,3640774653,16.86%," 73,296,435,341 "
9858.HK,优然牧业,3,1.6,1.6,1.6,1.37,3892727833,493486788,16.79%," 5,333,037,131 "
9690.HK,途虎-W,20,23.9338,25.045,,21.45,816090061,478498557,16.76%," 17,505,131,808 "
6862.HK,海底捞,24,16.8356,18.12,,15.52,5574000000,2827005850,16.75%," 86,508,480,000 "
1813.HK,合景泰富集团,,0.3,0.3,,0.45,3418883945,1422991106,-0.333333333,1538497775
1815.HK,金猫银猫,,0.506,,,0.198,1237875040,637875007,,245099257.9
0358.HK,江西铜业股份,,14.78,14.55,,12.48,3462729405,1079025000,16.59%," 43,214,862,974 "
1817.HK,慕尚集团控股,,,,,0.47,950000000,236195500,,446500000
3969.HK,中国通号,2,3.6,3.6,,3.09,10589819000,1968801000,16.50%," 32,722,540,710 "
1820.HK,济丰包装,,,,,6.1,300632000,83050000,,1833855200
1972.HK,太古地产,2,18.304,18.05,18,15.5,5826821400,1053234165,16.45%," 90,315,731,700 "
1822.HK,中木国际,,,,,0.196,411219340,167611163,,80598990.64
1823.HK,华昱高速,,,,,0.43,412608000,112608000,,177421440
1825.HK,STERLING GP,,,,,0.075,288000000,199900000,,21600000
1826.HK,丰展控股,,,,,0.044,1332000000,285870000,,58608000
1827.HK,卓珈控股,,,,,1.2,400000000,105000000,,480000000
9633.HK,农夫山泉,20,36.9293,38.51,38.51,33.1,11246466400,1802164750,16.34%," 372,258,037,840 "
1831.HK,十方控股,,1.19,1.19,1.19,0.074,1075449549,559930930,15.08108108,79583266.63
1832.HK,海天地悦旅,,,,,0.53,360000000,90000000,,190800000
2611.HK,国泰君安,5,13.4243,13.4243,13.54,11.54,8903730620,1136453380,16.33%," 102,749,051,355 "
1835.HK,瑞威资管,,,,,1.79,153340000,38340000,,274478600
3900.HK,绿城中国,5,9.5328,11.0667,13.2,9.52,2534269690,999784180,16.25%," 24,126,247,449 "
1837.HK,五谷磨房,1,0.68,,,0.47,2188514000,508224000,,1028601580
1841.HK,优越集团控股,,0.307,0.307,0.307,0.16,400000000,121210000,0.91875,64000000
1842.HK,植华集团,,,,,0.09,1200000000,740000000,,108000000
1843.HK,快餐帝国,,,,,0.146,800000000,200000000,,116800000
1845.HK,维港环保科技,,,,,0.214,1333335000,426602662,,285333690
1846.HK,德视佳,1,5.8,5.8,5.8,4.15,331523000,149331900,0.397590361,1375820450
1847.HK,云南建投混凝土,,,,,0.46,446272000,93718000,,205285120
1848.HK,中国飞机租赁,1,4.3,,,3.15,744648542,267610398,,2345642907
1849.HK,秀商时代控股,,,,,0.05,800000000,347335000,,40000000
1850.HK,鸿盛昌资源,,,,,0.132,172800000,47180000,,22809600
1851.HK,银杏教育,,,,,0.65,500000000,133437500,,325000000
1853.HK,春城热力,,,,,1.36,466700000,86200000,,634712000
1854.HK,中国万天控股,,,,,1.43,1978769769,628310657,,2829640770
0144.HK,招商局港口,3,14.5067,14.285,,12.3,4198009186,1169000054,16.14%," 51,635,512,988 "
1856.HK,依波路,,,,,1.8,360257512,116488027,,648463521.6
9961.HK,携程集团-S,25,585.7278,589.6245,588.1781,508.5,683527774,582290489,15.95%," 347,573,873,079 "
2373.HK,美丽田园医疗健康,7,18.7367,19.84,,17.12,235795568,49276500,15.89%," 4,036,820,124 "
1859.HK,煜盛文化,,,,,0.08,1600000000,691693161,,128000000
2331.HK,李宁,33,19.347,18.4881,,15.96,2584480506,1597197451,15.84%," 41,248,308,876 "
1861.HK,保宝龙科技,,,,,1.2,233917250,59128750,,280700700
1862.HK,景瑞控股,,4.85,4.85,4.85,0.043,1538813213,479730682,111.7906977,66168968.16
1863.HK,中国龙天集团,,4.59,4.59,,1.37,852612470,382715470,2.350364964,1168079084
1865.HK,卓航控股,,,,,0.28,708400000,1278800000,,198352000
1157.HK,中联重科,,6.1,6.0333,6.325,5.21,8677992236,1388207086,15.80%," 45,212,339,550 "
1867.HK,标准发展集团,,,,,0.195,1494000000,375540000,,291330000
1868.HK,同方友友,,0.245,0.245,,0.39,2094465417,559795004,-0.371794872,816841512.6
1869.HK,猫屎咖啡控股,,,,,0.131,1410250000,29202280,,184742750
1870.HK,益美国际控股,,,,,1.62,624000000,289995000,,1010880000
1871.HK,向中国际,,,,,0.194,435958192,147958192,,84575889.25
1872.HK,冠轈控股,,,,,0.61,540000000,51860000,,329400000
1873.HK,维亚生物,,,,,0.9,2161366305,1330308657,,1945229675
1875.HK,东曜药业-B,,,,,1.84,772787887,187631021,,1421929712
0003.HK,香港中华煤气,4,6.992,6.822,6.69,5.9,18659870098,10911177383,15.63%," 110,093,233,578 "
3958.HK,东方证券,1,5.9817,5.9817,3.95,5.18,8496645292,1027080000,15.48%," 44,012,622,613 "
1878.HK,南戈壁,,,,,3.8,296674666,137436445,,1127363731
0135.HK,昆仑能源,10,8.9938,8.4725,8.68,7.34,8658801708,3950499575,15.43%," 63,555,604,537 "
1881.HK,富豪产业信托,,,,,0.5,3257431189,814398087,,1628715595
0017.HK,新世界发展,,7.3908,7.3908,7.5467,6.43,2516633171,1378204562,14.94%," 16,181,951,290 "
0005.HK,汇丰控股,4,83.2814,83.2814,89.9,72.5,18009286450,15450923433,14.87%," 1,305,673,267,625 "
1884.HK,EPRINT集团,,,,,0.119,550000000,236875000,,65450000
2269.HK,药明生物,12,16.4233,17.225,15.65,15,4155007415,3351692526,14.83%," 62,325,111,225 "
1889.HK,三爱健康集团,,,,,0.47,152898695,2985714397,,71862386.65
1890.HK,中国科培,,1.96,1.96,1.96,1.38,2014248667,364802000,0.420289855,2779663160
1891.HK,兴合控股,,,,,0.208,1000000000,558320000,,208000000
1894.HK,恒益控股,,,,,0.025,921120000,254445000,,23028000
1895.HK,鑫苑服务,,,,,0.63,593037500,119000000,,373613625
2598.HK,连连数字,2,11.9,11.8,,10.28,1070680000,385613357,14.79%," 11,006,590,400 "
1897.HK,美亨实业,,,,,0.44,409825630,133415316,,180323277.2
0270.HK,粤海投资,2,5.3975,5.5967,5.2,4.88,6537821440,2844367894,14.69%," 31,904,568,627 "
1899.HK,兴达国际,,3.19,,3.19,1.3,1920125199,964277764,,2496162759
1900.HK,中国智能交通,,0.058,,,0.195,1720185862,1074273085,,335436243.1
1901.HK,飞扬集团,,,,,0.079,832000000,492989300,,65728000
1902.HK,银城国际控股,,,3.7,,0.046,1446962138,540279674,79.43478261,66560258.35
1903.HK,JBB BUILDERS,,,,,0.46,500000000,144518000,,230000000
1339.HK,中国人民保险集团,3,4.154,4.2429,4.4,3.71,44223990583,5601567019,14.36%," 164,071,005,063 "
1906.HK,博尼控股,,,,,0.345,1471123710,502500000,,507537680
9987.HK,百胜中国,20,395.8005,405.7017,409.7256,355,379924960,365497910,14.28%," 134,873,360,800 "
2196.HK,复星医药,,19.2667,16.3333,,14.32,2671326465,500187500,14.06%," 38,253,394,979 "
1909.HK,火岩控股,,,3.8,,0.136,3840000000,2530000000,26.94117647,522240000
2013.HK,微盟集团,5,1.7133,1.8,,1.58,3358093936,2306845381,13.92%," 5,305,788,419 "
1911.HK,华兴资本控股,,,,,2.9,572197776,350270444,,1659373550
1912.HK,康特隆,,,,,0.096,1098122380,351376380,,105419748.5
1571.HK,信邦控股,1,4.5,4.5,,3.95,1002905000,196711250,13.92%," 3,961,474,750 "
1915.HK,泰和小贷,,,,,0.495,600000000,150000000,,297000000
2669.HK,中海物业,13,6.4457,5.9225,6.3,5.2,3283960460,1272919400,13.89%," 17,076,594,392 "
1917.HK,豆盟科技,,,,,0.051,2300000000,516318407,,117300000
2208.HK,金风科技,4,7.6318,8.4,8.8,7.38,4225067647,596469640,13.82%," 31,180,999,235 "
6181.HK,老铺黄金,20,197.0411,223.3114,238.6,197.1,168366700,86777110,13.30%," 33,185,076,570 "
1920.HK,恒新丰控股,,,,,0.48,312000000,117000000,,149760000
0123.HK,越秀地产,14,6.563,6.405,6.8,5.66,4025392913,1477615525,13.16%," 22,783,723,888 "
1922.HK,瑞森生活服务,,,8,8,1.36,267152000,69803718,4.882352941,363326720
1925.HK,旷世芳香,,,,,1.29,405042000,101578857,,522504180
1927.HK,久久王,,,,,0.113,792000000,590337032,,89496000
0799.HK,IGG,2,3.9018,4,,3.54,1174311599,768724303,12.99%," 4,157,063,060 "
0006.HK,电能实业,1,59.208,57.52,,51,2131105154,1363605542,12.78%," 108,686,362,854 "
1930.HK,勋龙,,,,,0.25,660000000,242873000,,165000000
1931.HK,华检医疗,,,,4,1.8,1625508096,352595460,,2925914573
1932.HK,中漆集团,,0.227,0.227,0.227,0.25,1000000000,250000000,-0.092,250000000
1933.HK,元力控股,,,,,0.16,503927177,103356000,,80628348.32
1935.HK,嘉宏教育,,,2.26,,0.81,1600830000,460830000,1.790123457,1296672300
1936.HK,利特米,,,,,0.69,472000000,107018000,,325680000
1937.HK,佳辰控股,,,,,0.224,1000000000,264525000,,224000000
1938.HK,珠江钢管,,0.337,0.337,,0.168,1011142000,309231000,1.005952381,169871856
1939.HK,东京中央拍卖,,,,,0.7,500000000,125032722,,350000000
1940.HK,CGII HLDGS,,,,,0.485,1200000000,181280000,,582000000
1941.HK,烨星集团,,,,,0.165,405310000,123160000,,66876150
1942.HK,马可数字科技,,128.6,128.6,,1.24,931429366,421492805,102.7096774,1154972414
1943.HK,金石控股集团,,,,,0.088,1000000000,250000000,,88000000
1945.HK,清科创业,,,,,1.57,305070800,159003192,,478961156
1947.HK,美皓集团,,,,,0.325,600154350,172500000,,195050163.8
1948.HK,优矩控股,,,,,1.06,600000000,163954600,,636000000
1949.HK,佰达国际控股,,,,,0.098,680000000,118000000,,66640000
1950.HK,帝王实业控股,,,,,0.138,720000000,668000000,,99360000
0998.HK,中信银行,,5.5886,5.5886,5.53,4.96,54098007724,11547176498,12.67%," 268,326,118,311 "
0778.HK,置富产业信托,,4.8233,4.5,,4,2032611195,1495595875,12.50%," 8,130,444,780 "
1953.HK,RIMBACO,,0.227,,,0.137,1260000000,315000000,,172620000
1955.HK,庄臣控股,,,,,0.34,500000000,80000000,,170000000
1957.HK,大人国际,,,,,0.29,628000000,188400000,,182120000
0590.HK,六福集团,,18.2886,16.465,16.465,14.66,587107850,175991863,12.31%," 8,607,001,081 "
1959.HK,世纪联合控股,,,,,0.42,505202000,131286000,,212184840
1960.HK,TBKS HLDGS,,,,,0.148,1000000000,400000000,,148000000
1961.HK,多牛科技,,,,,0.51,734301174,292279455,,374493598.7
1962.HK,训修实业,,,,,0.5,646674000,196896001,,323337000
2192.HK,医脉通,3,11,11,,9.8,732876000,118800599,12.24%," 7,182,184,800 "
1965.HK,朗诗绿色生活,,3.9,,,0.184,410765000,111232679,,75580760
1966.HK,中骏集团控股,,0.1,0.1,,0.175,4222986126,1642026126,-0.428571429,739022572.1
1967.HK,信恳智能,,,,,0.395,250000000,122575000,,98750000
1968.HK,兴纺控股,,0.083,0.083,,0.121,640000000,160000000,-0.314049587,77440000
6818.HK,中国光大银行,2,3.0286,3.0286,2.53,2.7,59085551061,4705350500,12.17%," 159,530,987,865 "
1970.HK,IMAX CHINA,,6.7,6.7,6.7,7.19,340008459,96745859,-0.068150209,2444660820
1971.HK,弘阳服务,,,9.37,,0.55,415000000,113006000,16.03636364,228250000
0440.HK,大新金融,,28,28,,25,319575100,128603817,12.00%," 7,989,377,500 "
1973.HK,天图投资,,,,,3.16,693031110,135998000,,2189978308
1975.HK,新兴印刷,,,,,0.355,480000000,96000000,,170400000
1977.HK,安乐工程,,,38,,0.95,1400000000,479152000,39,1330000000
1978.HK,叙福楼集团,,,,,0.45,800000000,200000000,,360000000
1979.HK,天宝集团,,,,,1.51,1030388965,262647444,,1555887337
1980.HK,天鸽互动,,0.294,0.294,,0.57,1150779162,503588162,-0.484210526,655944122.3
1981.HK,华夏控股,,1.1,,,1.21,1654937000,368290000,,2002473770
1982.HK,南旋控股,,0.638,,,0.9,2279392000,579392000,,2051452800
