202,CITIZENSMMUNITY
203,NORTHFIELD BANCORP
204,PHILLIPS EDISON
205,AMG资管(AFFILIATED MANAGERS)
206,MAA房产信托
207,FINWISE BANCORP
208,邦纳
209,多尼戈尔股份-A
210,哈贝尔(HUBBELL)
211,米勒汽配
212,卡特彼勒(CATERPILLAR)
213,大湖船坞
214,三菱日联金融
215,MAGNOLIA OIL & GAS
216,F5
217,EXTRA SPACE STORAGE
218,第一金融银行
219,HIGH TIDE
220,简伯特(GENPACT)
221,CASTLE BIOSCIENCES
222,欧德国家银行
223,公民保险
224,摩根大通(JPMORGAN CHASE)
225,HAYWARD
226,恩普雷萨电力
227,HALLADOR能源
228,ASP ISOTOPES
229,KINSALE CAPITAL
230,KKR
231,投资者不动产
232,BANKUNITED
233,CSW INDUSTRIALS
234,ARGENX SE
235,巴克莱银行
236,CF实业(CF INDUSTRIES)
237,巴瑞特商业服务
238,AMERISAFE
239,美莎比信托
240,PIEDMONT OFFICE REALTY TRUST
241,OPKO HEALTH
242,ONESPAN
243,LEONARDO DRS
244,PURE CYCLE
245,PREMIER FINANCIAL
246,勒梅特微管医疗
247,MGE ENERGY
248,HONEST
249,微策投资
250,好事达保险(ALLSTATE)
251,贝克休斯(BAKER HUGHES)
252,HERITAGE金融银行
253,DXP ENTERPRISES
254,汇丰控股
255,CHEWY
256,国际银行
257,ENACT
258,LIGAND PHARMACEUTICALS-CL B
259,亚邦丝医疗
260,凯雷集团(CARLYLE)
261,第一社区
262,哥伦比亚银行系统
263,NEXTNAV
264,惠普(HP)
265,ARES MANAGEMENT
266,奥玛特科技
267,宏利金融
268,凯特地产信托
269,LOVESAC
270,起司工坊
271,莫肯特尔银行
272,DAILY JOURNAL
273,ARTIVION
274,卡朋特科技
275,思艾特(CI&T)
276,奈飞(NETFLIX)
277,CAPRICOR THERAPEUTICS
278,弗莱克斯蒂尔工业
279,波士顿科学(BOSTON SCIENTIFIC)
280,美好医疗系统
281,苹果(APPLE)
282,DAVE
